Post ID,Customer ID,Content,Intent,Sentiment Score,Platform,Sentiment
POST00001,CUST0681,Tried an AI financial planner. Super interesting insights on my spending!,Investment Interest,0.1285373557,Twitter,neutral
POST00002,CUST0306,Excited about the latest AI-powered budgeting app. Looks promising!,Product Discovery,0.5062634021,LinkedIn,positive
POST00003,CUST0994,Struggling with credit card debt. Need a solid repayment strategy!,Financial Planning,0.4867069477,Instagram,negative
POST00004,CUST0529,Just got my first salary! Thinking of the best way to save and invest.,Financial Planning,0.2559222643,Twitter,positive
POST00005,CUST0565,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Investment Interest,0.8818421349,Instagram,neutral
POST00006,CUST0378,Can’t decide between a high-interest savings account or stocks. Help?,Tech Enthusiasm,-0.03572573854,Facebook,negative
POST00007,CUST0183,Saving up for my dream vacation. Any good tips to stay on track?,Loan Interest,0.7604893196,Instagram,negative
POST00008,CUST0206,Why are bank fees so high these days? Feels like a hidden cost everywhere!,Budget Concerns,0.2391678794,Facebook,neutral
POST00009,CUST0753,Want to start trading but unsure where to begin. Any beginner-friendly tips?,Investment Interest,0.4749333577,LinkedIn,positive
POST00010,CUST0843,Looking for the best credit card with travel rewards. Any recommendations?,Service Quality,-0.07033562977,LinkedIn,positive
POST00011,CUST0440,Just got a cashback credit card. Time to maximize my rewards!,Audience Engagement,-0.6647613205,Instagram,negative
POST00012,CUST0769,Just got my first salary! Thinking of the best way to save and invest.,Financial Literacy,-0.7818091565,Facebook,positive
POST00013,CUST0193,I need a budget-friendly laptop for work. Any solid choices under $1000?,Tech Innovation,0.3646608304,LinkedIn,negative
POST00014,CUST0960,I need a budget-friendly laptop for work. Any solid choices under $1000?,Savings Planning,-0.2470476145,Instagram,positive
POST00015,CUST0948,Who else finds banking apps super confusing? UX needs serious work.,Audience Engagement,0.1349656298,Facebook,neutral
POST00016,CUST0655,Just got a cashback credit card. Time to maximize my rewards!,Debt Repayment Strategy,0.4920986639,LinkedIn,neutral
POST00017,CUST0258,Finally paid off my student loan! Feels like a huge relief!,Budget Concerns,0.5729634157,LinkedIn,neutral
POST00018,CUST0012,Tried an AI financial planner. Super interesting insights on my spending!,Tech Innovation,0.01932065724,Instagram,negative
