Customer ID,Age,Gender,Location,Interests,Preferences,Income,Education,Occupation
CUST0001,56,Male,San Francisco,Fashion,High-end,87124,Master's,Scientist
CUST0002,46,Female,Miami,Tech,High-end,95149,Bachelor's,Entrepreneur
CUST0003,32,Male,Chicago,Tech,Premium,56616,Master's,Scientist
CUST0004,60,Female,San Francisco,Tech,Budget,109655,High School,Doctor
CUST0005,25,Female,Los Angeles,Fashion,Eco-friendly,120695,Bachelor's,Entrepreneur
CUST0006,38,Female,Houston,Travel,Eco-friendly,84567,Bachelor's,Engineer
CUST0007,56,Male,Chicago,Gaming,Eco-friendly,67099,High School,Entrepreneur
CUST0008,36,Male,Chicago,Fashion,Budget,105831,PhD,Doctor
CUST0009,40,Male,Miami,Health,Eco-friendly,130246,Bachelor's,Teacher
CUST0010,28,Female,Chicago,Finance,Eco-friendly,91799,PhD,Entrepreneur
CUST0011,28,Female,Los Angeles,Travel,Premium,120221,Bachelor's,Scientist
CUST0012,41,Non-Binary,Los Angeles,Health,Budget,144879,Bachelor's,Scientist
CUST0013,53,Male,New York,Gaming,High-end,55479,PhD,Teacher
CUST0014,57,Female,Los Angeles,Tech,Premium,76172,Bachelor's,Doctor
CUST0015,41,Female,San Francisco,Gaming,Premium,129165,PhD,Artist
CUST0016,20,Male,Chicago,Fashion,High-end,85863,High School,Scientist
CUST0017,39,Male,Los Angeles,Finance,Premium,72043,PhD,Engineer
CUST0018,19,Female,Miami,Fashion,Budget,112569,High School,Doctor
CUST0019,41,Female,New York,Travel,Eco-friendly,132438,Bachelor's,Entrepreneur
CUST0020,61,Female,Chicago,Travel,Budget,140107,PhD,Entrepreneur
CUST0021,47,Male,New York,Finance,High-end,45408,Bachelor's,Engineer
CUST0022,55,Female,Chicago,Health,High-end,87980,PhD,Scientist
CUST0023,19,Male,Miami,Health,Premium,112956,High School,Doctor
CUST0024,38,Male,New York,Travel,Budget,46351,High School,Engineer
CUST0025,50,Male,Houston,Travel,Budget,34131,PhD,Scientist
CUST0026,29,Female,San Francisco,Tech,High-end,146836,High School,Doctor
CUST0027,39,Female,San Francisco,Health,Budget,74825,Bachelor's,Entrepreneur
CUST0028,61,Female,Chicago,Finance,High-end,41349,Bachelor's,Doctor
CUST0029,42,Male,Houston,Health,Budget,90931,Master's,Teacher
CUST0030,44,Female,New York,Tech,Budget,74254,High School,Artist
CUST0031,59,Male,Houston,Fashion,Budget,68225,Bachelor's,Doctor
CUST0032,45,Female,Houston,Travel,High-end,134383,PhD,Artist
CUST0033,33,Male,New York,Travel,Premium,42453,High School,Doctor
CUST0034,32,Male,Miami,Tech,Budget,48814,Bachelor's,Artist
CUST0035,64,Male,Houston,Finance,High-end,48263,High School,Teacher
CUST0036,61,Male,Houston,Travel,High-end,107694,PhD,Entrepreneur
CUST0037,20,Female,Miami,Gaming,Budget,45735,Bachelor's,Scientist
CUST0038,54,Female,Houston,Travel,Budget,45830,Master's,Artist
CUST0039,24,Male,Houston,Gaming,Premium,77893,Master's,Teacher
CUST0040,38,Female,Houston,Tech,High-end,74673,High School,Artist
CUST0041,26,Male,San Francisco,Tech,High-end,119462,PhD,Entrepreneur
CUST0042,56,Female,Los Angeles,Travel,Eco-friendly,75066,Bachelor's,Artist
CUST0043,35,Female,Miami,Health,High-end,130315,PhD,Teacher
CUST0044,21,Female,Houston,Gaming,Premium,33373,Bachelor's,Teacher
CUST0045,42,Male,San Francisco,Finance,Eco-friendly,40335,High School,Engineer
CUST0046,31,Female,Miami,Travel,Eco-friendly,53741,Bachelor's,Entrepreneur
CUST0047,26,Female,Chicago,Finance,Eco-friendly,40692,PhD,Engineer
CUST0048,43,Male,Chicago,Travel,Budget,77295,PhD,Entrepreneur
CUST0049,19,Male,Houston,Health,Budget,75541,High School,Artist
CUST0050,37,Female,San Francisco,Health,High-end,64057,PhD,Teacher
CUST0051,45,Female,San Francisco,Health,Eco-friendly,96983,Bachelor's,Engineer
CUST0052,64,Female,Miami,Fashion,Premium,49583,High School,Artist
CUST0053,24,Female,Miami,Health,Budget,52765,Bachelor's,Teacher
CUST0054,61,Female,San Francisco,Tech,Premium,89287,PhD,Entrepreneur
CUST0055,25,Male,Miami,Tech,Premium,53906,High School,Teacher
CUST0056,64,Male,San Francisco,Fashion,Budget,115103,Bachelor's,Artist
CUST0057,52,Male,Los Angeles,Gaming,Budget,109675,PhD,Engineer
CUST0058,31,Female,San Francisco,Finance,Budget,76525,PhD,Engineer
CUST0059,34,Male,Chicago,Travel,Budget,68230,Master's,Teacher
CUST0060,53,Female,Miami,Travel,Eco-friendly,147904,PhD,Artist
CUST0061,57,Female,San Francisco,Fashion,Eco-friendly,49520,Bachelor's,Doctor
CUST0062,21,Female,San Francisco,Tech,Eco-friendly,115238,High School,Entrepreneur
CUST0063,19,Male,Miami,Travel,Eco-friendly,81934,Master's,Entrepreneur
CUST0064,23,Female,Los Angeles,Tech,High-end,55566,PhD,Artist
CUST0065,59,Male,Los Angeles,Gaming,Eco-friendly,103193,PhD,Doctor
CUST0066,21,Female,Miami,Finance,Budget,133224,PhD,Engineer
CUST0067,46,Male,New York,Gaming,Premium,60134,Bachelor's,Scientist
